PALABRA,CATEGORIA
Rayo McQueen,Entretenimiento
Woody Toy Story,Entretenimiento
Buzz Lightyear,Entretenimiento
Rosalia,Música
YSY A,Música
Justin Bieber,Música
Hasbulla,Famosos
Grego Rosello,Famosos
Luquitas Rodriguez,Famosos
Ibai,Famosos
Spiderman,Entretenimiento
Batman,Entretenimiento
Flash,Entretenimiento
Superman,Entretenimiento
Hulk,Entretenimiento
Thor,Entretenimiento
Donald Trump,Famosos
Milo J,Música
Daddy Yankee,Música
Quevedo,Música
Bizarrap,Música
Funko POP,Marcas
Cristiano Ronaldo,Deporte
Michael Jordan,Deporte
Lionel Messi,Deporte
Bresh,Marcas
LUZU,Marcas
OLGA,Marcas
Mario Bros,Entretenimiento
Crash Bandicoot,Entretenimiento
Tomb Raider,Entretenimiento
Counter Strike,Entretenimiento
FIFA,Entretenimiento
Starbucks,Marcas
Apple,Marcas
Stich,Entretenimiento
Wall-E,Entretenimiento
Nemo,Entretenimiento
Chocolate Dubai,Comida / Bebida
Marcelo Tinelli,Famosos
Dua Lipa,Música
Real Madrid,Deporte
Paris,Mundi
Buenos Aires,Mundi
Rio de Janeiro,Mundi
Ushuaia,Mundi
Nueva York,Mundi
Australia,Mundi
Mexico,Mundi
España,Mundi
Italia,Mundi
Handball,Deporte
Futbol,Deporte
Voley,Deporte
Basket,Deporte
Maradona,Deporte
Harry Potter,Entretenimiento
Shrek,Entretenimiento
Japon,Mundi
Ibai,Famosos
Salchica,Comida / Bebida
